smiles	molid
O=C1CC(c2ccccc2)C(=O)N1	mol11326
CC1=NOC(=O)C1=NNc1ccccc1	mol11327
O=c1[nH]nc(Cc2ccccc2)c(=O)[nH]1	mol11328
Cc1c(C(=O)O)nnn1-c1ccccc1	mol11329
O=C(O)[C@@H]1C[C@H]1c1cccc(Cl)c1	mol11330
O=C(O)[C@@H]1C[C@H]1c1ccc(Cl)cc1	mol11331
COc1ccc2[nH]c(C(=O)O)cc2c1	mol11332
O=C(O)[C@@H]1C[C@H]1c1cccc([N+](=O)[O-])c1	mol11333
O=C(O)[C@@H]1C[C@H]1c1ccc([N+](=O)[O-])cc1	mol11334
NC(=O)c1ccc(O)c(/C=C\C(=O)O)c1	mol11335
O=C1CCCc2c([N+](=O)[O-])ccc(O)c21	mol11336
O=C1CCCc2ccc([N+](=O)[O-])c(O)c21	mol11337
O=P(O)(O)Oc1cccc2ccccc12	mol11338
O=P(O)(O)Oc1ccc2ccccc2c1	mol11339
O=C(O)CC(C(=O)O)c1ccc([N+](=O)[O-])cc1	mol11340
CC1=NN(c2ccccc2)C(=O)C1	mol11341
CC1=NNC(=O)C1=NNc1ccccc1	mol11342
CCc1cc2c(O)cccc2s1	mol11343
CCc1ccc(O)c2ccsc12	mol11344
Cc1sc2ccc(O)cc2c1C	mol11345
Cc1csc2c(C)cc(O)cc12	mol11346
Cc1sc2cc(O)ccc2c1C	mol11347
Cc1sc2c(O)cccc2c1C	mol11348
O=C(Cc1c[nH]c2ccccc12)NO	mol11349
O=C(O)C1CCC(c2ccccn2)=N1	mol11350
CCOC(=O)c1nc2c(C)nc[nH]c-2nc1=O	mol11351
O=C(O)CSC(C(=O)O)c1ccccc1	mol11352
O=C(CCC([N+](=O)[O-])[N+](=O)[O-])c1ccccc1	mol11353
Cn1c(=O)c2nc(C(=O)O)c(=O)n(C)c2n(C)c1=O	mol11354
COc1nc2c(nc1C(=O)O)c(=O)n(C)c(=O)n2C	mol11355
CC(=O)CC(=O)Nc1ccccc1	mol11356
CC(=O)Nc1c(C)cccc1C(=O)O	mol11357
CC(=O)Nc1cc(C)ccc1C(=O)O	mol11358
CC(=O)Nc1ccc(C)cc1C(=O)O	mol11359
CC(=O)Nc1cccc(C)c1C(=O)O	mol11360
CC(=O)Nc1cccc(C(=O)O)c1C	mol11361
CC(=O)Nc1ccc(C)c(C(=O)O)c1	mol11362
CC(=O)Nc1ccc(C(=O)O)c(C)c1	mol11363
CNc1ccc(C(=O)OCC(=O)O)cc1	mol11364
COc1cc(NC(C)=O)ccc1C(=O)O	mol11365
COC(=O)[C-](C(=O)OC)[n+]1ccccc1	mol11366
NC(Cc1cccc(C(=O)O)c1)C(=O)O	mol11367
O=C(O)C[As](CC(=O)O)c1ccccc1	mol11368
O=C(O)CN(CC(=O)O)c1ccccc1O	mol11369
NC(Cc1ccc(O)c(C(=O)O)c1)C(=O)O	mol11370
CC(C)(C)c1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-]	mol11371
N#CC1C(=O)NC(=O)C12CCCCC2	mol11372
CN1CC(C2=C(O)CN(C)C2=O)=CC1=O	mol11373
CC1NC(=O)C=C1C1=C(O)C(C)NC1=O	mol11374
CCOC(=O)c1ccc(C(=O)NN)cc1	mol11375
C=CCC1(CC=C)C(=O)NC(=O)NC1=O	mol11376
CN1CC(O)C2=CC(=NNC(N)=O)C(=O)C=C21	mol11377
CCOc1ccccc1[Se]CC(=O)O	mol11378
CCOc1ccc([Se]CC(=O)O)cc1	mol11379
O=C(O)CN(CC(=O)O)Cc1ccccn1	mol11380
Cc1c([N+](=O)[O-])cc(C(C)C)c(O)c1[N+](=O)[O-]	mol11381
[O-][n+]1cnc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O	mol11382
CC(C)(C)c1ccc(O)c(Cl)c1	mol11383
Cc1cc(O)c(C(C)C)cc1Cl	mol11384
N#CC12CCC(C(=O)O)(CC1)CC2	mol11385
CCCC(=O)N(O)c1ccccc1	mol11386
NCCC(C(=O)O)c1ccccc1	mol11387
NCC(CC(=O)O)c1ccccc1	mol11388
NC(CCC(=O)O)c1ccccc1	mol11389
CCc1cc(O)cc(CC)c1N=O	mol11390
NCc1ccccc1CCC(=O)O	mol11391
NCc1ccc(CCC(=O)O)cc1	mol11392
CCc1cc([N+](=O)[O-])cc(CC)c1O	mol11393
CC(Cc1ccccc1)NC(=S)S	mol11394
O=S(O)CCCCc1ccccc1	mol11395
C[Si](C)(C)c1cccc(C(=O)O)c1	mol11396
C[Si](C)(C)c1ccc(C(=O)O)cc1	mol11397
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O	mol11398
CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O	mol11399
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O	mol11400
Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O	mol11401
Cc1cn([C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)c(=O)[nH]c1=O	mol11402
O=C(O)CSC(SCC(=O)O)C(SCC(=O)O)SCC(=O)O	mol11403
CN(C)CCc1ccccc1O	mol11404
CN(C)CCc1cccc(O)c1	mol11405
Cc1ccc(O)c(CN(C)C)c1	mol11406
Cc1cccc(CN(C)C)c1O	mol11407
CCCN(O)N=Nc1ccc(C)cc1	mol11408
CC(C)(O)CCNc1ncnc2nc[nH]c12	mol11409
COc1ccc(O)c(CN(C)C)c1	mol11410
COc1cccc(CN(C)C)c1O	mol11411
Nc1c(C(=O)O)ncn1C1CCCCC1	mol11412
O=C(O)CN(CC(=O)O)C1(C(=O)O)CCCC1	mol11413
CCC(N)(CS)c1ccccc1	mol11414
CC(S)(CN)Cc1ccccc1	mol11415
CCCc1c(CC)c(=O)[nH]c(=O)n1C	mol11416
CCCc1[nH]c(=O)n(C)c(=O)c1CC	mol11417
CCCCC1(CC)C(=O)NC(=O)NC1=O	mol11418
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O	mol11419
CN(C)C12CCC(C(=O)O)(CC1)C2	mol11420
CCCCCCCc1n[nH]c(=O)[nH]c1=O	mol11421
O=C(O)CN(CC(=O)O)C1CCCCC1	mol11422
CCOC(=O)NCc1c(NC(=O)OCC)nnn1C	mol11423
O=C(O)CN(CC(=O)O)C1CCCCC1O	mol11424
O=C(O)CN(CC(=O)O)CC1CCCCO1	mol11425
CC(C)(C)[C@H]1CCN[C@@H](C(=O)O)C1	mol11426
CC(C)(C)[C@@H]1CCN[C@@H](C(=O)O)C1	mol11427
CC(C)(C)CCN(CC(=O)O)CC(=O)O	mol11428
CC[N+]1(CC)CCCCC1C(=O)O	mol11429
CCCCCCCCCC([N+](=O)[O-])[N+](=O)[O-]	mol11430
CCCCCCCCCC(=O)NO	mol11431
O=C(CCCCCCCCCO)NO	mol11432
NC(=O)NCCCCCCCCC(=O)NO	mol11433
CCCCOP(=O)(CC(=O)O)OCCCC	mol11434
OCCN(CCO)CCN(CCO)CCO	mol11435
O=P(O)(O)CCCCCCCCCCP(=O)(O)O	mol11436
O=S(=O)(O)c1cc2cc(S(=O)(=O)O)c(Cl)c(O)c2c(O)c1Cl	mol11437
O=C1NC(=S)SC1=Cc1ccccc1	mol11438
O=C1C(=NO)C=C(S(=O)(=O)O)c2ccccc21	mol11439
O=Nc1ccc2c(S(=O)(=O)O)cccc2c1O	mol11440
O=Nc1ccc2cccc(S(=O)(=O)O)c2c1O	mol11441
O=Nc1ccc2cc(S(=O)(=O)O)ccc2c1O	mol11442
O=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12	mol11443
O=Nc1c(O)ccc2ccc(S(=O)(=O)O)cc12	mol11444
O=Nc1ccc2ccc(S(=O)(=O)O)cc2c1O	mol11445
O=Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1O	mol11446
O=C1C(S(=O)(=O)O)=Cc2cc(S(=O)(=O)O)ccc2C1=NO	mol11447
O=c1[nH]c(=S)[nH]c(O)c1-c1ccccc1	mol11448
O=c1[nH]c(=[Se])[nH]c(O)c1-c1ccccc1	mol11449
CC1=NOC(=O)C1=NNc1ccccc1Cl	mol11450
CC1=NOC(=O)C1=NNc1cccc(Cl)c1	mol11451
CC1=NOC(=O)C1=NNc1ccc(Cl)cc1	mol11452
Cc1ccc(O)c(N=Nc2nccs2)c1	mol11453
O=S(=O)(Nc1ncccn1)c1ccccc1	mol11454
COc1ccc(N=Nc2nccs2)c(O)c1	mol11455
COc1ccc(O)c(N=Nc2nccs2)c1	mol11456
Nc1cc2c(O)cc(S(=O)(=O)O)cc2cc1S(=O)(=O)O	mol11457
CC(=O)C(Cl)C(=O)Nc1ccccc1	mol11458
O=C(O)CN(CC(=O)O)CC(=O)c1cccs1	mol11459
Cn1c(Cl)cc2c(c1=O)CCCC2	mol11460
O=c1[nH]c(=S)[nH]c(O)c1C1=CCCCC1	mol11461
Cc1cc2sc(C)cc2c(C)n1	mol11462
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O	mol11463
O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O	mol11464
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=S)[nH]c1=S	mol11465
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=S)[nH]c1=O	mol11466
Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=S)[nH]c1=S	mol11467
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	mol11468
O=P(O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O	mol11469
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	mol11470
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	mol11471
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	mol11472
Cc1cc(O)ccc1[N+](C)(C)C	mol11473
Cc1ccc(O)cc1[N+](C)(C)C	mol11474
C[N+](C)(C)Cc1ccccc1O	mol11475
C[N+](C)(C)Cc1cccc(O)c1	mol11476
C[N+](C)(C)Cc1ccc(O)cc1	mol11477
C[N+](C)(C)c1cccc(O)c1O	mol11478
CCCCC1(CC)C(=O)NC(=S)NC1=O	mol11479
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	mol11480
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O	mol11481
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	mol11482
CC[N+](C)(CC)CCC(=NO)C(C)=O	mol11483
CC(C)(NCCOCCNC(C)(C)P(=O)(O)O)P(=O)(O)O	mol11484
CCOP(=O)(NS(=O)(=O)c1ccccc1)OCC	mol11485
O=Cc1ccc(O)c2ccccc12	mol11486
CC(=O)C1C(=O)c2ccccc2C1=O	mol11487
O=C(O)c1cc(O)cc2ccccc12	mol11488
O=C(O)c1cc2ccccc2cc1O	mol11489
O=C(O)c1cc(O)c2ccccc2c1	mol11490
CC(=O)c1c(O)c2ccccc2oc1=O	mol11491
COc1ccc(-c2c(O)c(=O)c2=O)cc1	mol11492
Cc1ccc(O)c2ccccc12	mol11493
C#CC#CC=C=CC(O)CCC(=O)O	mol11494
C#CC#CC#CCC(O)CCC(=O)O	mol11495
O=C(O)[C@@H]1C[C@@]1(C(=O)O)c1ccccc1	mol11496
O=C(O)[C@@H]1C[C@]1(C(=O)O)c1ccccc1	mol11497
CCc1oc2cccc(O)c2c1C	mol11498
CCc1ccc(O)c2cc(C)oc12	mol11499
Cc1oc2c(O)ccc(C)c2c1C	mol11500
Cc1cc(O)c2oc(C)c(C)c2c1	mol11501
O=C(O)c1ccc(C2CCC2)cc1	mol11502
CC(=O)C(C)C(=O)c1ccccc1	mol11503
Cc1ccc(C2CC2C(=O)O)cc1	mol11504
CC(=O)C(C(C)=O)c1ccccc1	mol11505
CCCC(=O)c1ccccc1C(=O)O	mol11506
COc1ccc(C2CC2C(=O)O)cc1	mol11507
CCOC(=O)CC(=O)c1ccccc1	mol11508
Cc1ccc(C)c(C=CC(=O)O)c1O	mol11509
Cc1cc(C)c(C=CC(=O)O)c(O)c1	mol11510
CC(CC(=O)O)(C(=O)O)c1ccccc1	mol11511
O=C(O)CC(CC(=O)O)c1ccccc1	mol11512
CCC(C(=O)O)(C(=O)O)c1ccccc1	mol11513
COc1cccc(/C=C/C(=O)O)c1OC	mol11514
COc1ccc(/C=C/C(=O)O)c(OC)c1	mol11515
COc1ccc(/C=C/C(=O)O)cc1OC	mol11516
COc1cc(/C=C/C(=O)O)cc(OC)c1	mol11517
CCOC(=O)c1cc(=O)c(O)c(C(=O)OCC)o1	mol11518
Cc1cc(C)c(C)c(C(=O)O)c1C	mol11519
CC(CCC(=O)O)c1ccccc1	mol11520
CC(C)c1ccc(C(O)C(=O)O)cc1	mol11521
CN(C)Cc1c[nH]c2ccccc12	mol11522
CCCCc1ccc(O)c(C)c1	mol11523
Cc1cccc(C(C)(C)C)c1O	mol11524
Cc1cc(C(C)(C)C)ccc1O	mol11525
Cc1cc(C)c(C(C)C)cc1O	mol11526
Cc1cc(C)c(O)c(C(C)C)c1	mol11527
Cc1cc(C(C)C)cc(C)c1O	mol11528
Cc1cc(O)c(C(C)C)cc1C	mol11529
CCc1cc(C(C)C)ccc1O	mol11530
CCc1ccc(C(C)C)cc1O	mol11531
CCc1ccc(O)c(C(C)C)c1	mol11532
CC(C)(C)Cc1ccccc1O	mol11533
CCC(C)C(=O)CC(=O)C(C)(C)C	mol11534
CCC(C)C(=O)CCC(C)CC=O	mol11535
CC(C)C(CC(=O)O)(CC(=O)O)C(C)C	mol11536
CCCC(CCC)(CC(=O)O)CC(=O)O	mol11537
CCCCC(CCCC)(C(=O)O)C(=O)O	mol11538
N#Cc1cc(O)cc2ccccc12	mol11539
N#Cc1ccc(O)c2ccccc12	mol11540
O=C(O)c1ccc(Cl)c2ccccc12	mol11541
O=C(O)c1ccc(Br)c2ccccc12	mol11542
O=C(O)c1ccc(F)c2ccccc12	mol11543
O=C(O)c1cc([N+](=O)[O-])cc2ccccc12	mol11544
O=C(O)c1ccc([N+](=O)[O-])c2ccccc12	mol11545
Nc1nc2[nH]nc(-c3ccccc3)nc-2c(=O)n1	mol11546
O=C(CC(=O)c1ccc[se]1)c1ccco1	mol11547
S=c1[nH]c2cc3ccccc3cc2[nH]1	mol11548
Oc1ccccc1N=Nc1ccccn1	mol11549
Oc1ccc(N=Nc2ccccn2)cc1	mol11550
O=C(c1ccccc1O)n1cccc1	mol11551
O=C(NO)c1cccc2ccccc12	mol11552
Oc1ccc(N=Nc2cccnc2)c(O)c1	mol11553
O=C(NO)c1cc2ccccc2cc1O	mol11554
O=C(O)C1C(=O)NC(=O)C1c1ccccc1	mol11555
O=c1nc(Cc2ccccc2)[nH]c(O)c1[N+](=O)[O-]	mol11556
O=C(O)c1c(OP(=O)(O)O)ccc2ccccc12	mol11557
O=C(O)c1cccc2cccc(OP(=O)(O)O)c12	mol11558
O=C(O)c1ccc2ccccc2c1OP(=O)(O)O	mol11559
O=C(O)c1cc2ccccc2cc1OP(=O)(O)O	mol11560
CC(=O)C(C#N)C(=O)Nc1ccccc1	mol11561
O=c1cc(O)[nH]c(Cc2ccccc2)n1	mol11562
NC(=O)C1C(=O)NC(=O)C1c1ccccc1	mol11563
CC1(c2ccc([N+](=O)[O-])cc2)CC(=O)NC1=O	mol11564
CC(=O)c1c(C)[nH]c2ccccc12	mol11565
CC1(c2ccccc2)CC(=O)NC1=O	mol11566
CCOC(=O)CC(=O)c1ccc(Cl)cc1	mol11567
CCOC(=O)CC(=O)c1ccc(Br)cc1	mol11568
O=C(O)C=CC(=O)NOCc1ccccc1	mol11569
CC(=O)Nc1ccc(O)c(/C=C\C(=O)O)c1	mol11570
CCC(C(=O)O)(C(=O)O)c1cccc(Cl)c1	mol11571
CCC(C(=O)O)(C(=O)O)c1ccc(Cl)cc1	mol11572
CCOC(=O)CC(=O)c1ccc([N+](=O)[O-])cc1	mol11573
O=C1CNC(=O)C(Cc2ccc(O)c([N+](=O)[O-])c2)N1	mol11574
CC(CC(=O)O)(C(=O)O)c1ccc([N+](=O)[O-])cc1	mol11575
COC(=O)CC(C(=O)O)c1ccc([N+](=O)[O-])cc1	mol11576
COC(=O)C(CC(=O)O)c1ccc([N+](=O)[O-])cc1	mol11577
O=c1[nH]c2ccc3c(c2[nH]1)CCCC3	mol11578
O=c1[nH]c2cc3c(cc2[nH]1)CCCC3	mol11579
CCC1(c2ccccc2)NC(=O)NC1=O	mol11580
CC1(CC(C(=O)O)c2ccccc2)N=N1	mol11581
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O	mol11582
CC(=O)C(C(C)=O)C1NC(=O)Nc2nccnc21	mol11583
CC(SC(C(=O)O)c1ccccc1)C(=O)O	mol11584
O=C(O)CSC(SCC(=O)O)c1ccccc1	mol11585
CCOC(=O)c1n[nH]c2c(c1=O)c(=O)n(C)c(=O)n2C	mol11586
O=C(O)CN(CC(=O)O)Cc1ccccc1[N+](=O)[O-]	mol11587
O=C(O)CN(CC(=O)O)Cc1ccc([N+](=O)[O-])cc1	mol11588
CC(=O)NC(Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)O	mol11589
O=C(O)CN(CC(=O)O)Cc1cc([N+](=O)[O-])ccc1O	mol11590
S=c1[nH]c2cc3c(cc2[nH]1)CCCC3	mol11591
CC(=O)C(C)C(=O)Nc1ccccc1	mol11592
CC(=O)C(N)C(=O)OCc1ccccc1	mol11593
CCNc1ncc2nc(C(=O)OCC)c(=O)nc-2[nH]1	mol11594
CCn1c(=O)c(C(=O)O)nc2cnc(N(C)C)nc21	mol11595
CCNc1ncc2nc(C(=O)O)c(=O)n(CC)c2n1	mol11596
CCOC(=O)CNc1cccc(C(=O)O)c1	mol11597
CCOC(=O)CNc1ccc(C(=O)O)cc1	mol11598
O=C(O)CC(NCc1ccccc1)C(=O)O	mol11599
O=C(O)CCC(=O)NOCc1ccccc1	mol11600
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	mol11601
O=C(O)CN(CC(=O)O)Cc1ccccc1O	mol11602
COc1ccccc1N(CC(=O)O)CC(=O)O	mol11603
CC1(C2=CCCCC2)C(=O)NC(=O)NC1=O	mol11604
Cc1cccc(CN(CC(=O)O)CC(=O)O)n1	mol11605
Cc1ncc(CO)c(C=NC(C)C(=O)O)c1O	mol11606
CCCCN=Cc1ccccc1O	mol11607
CC(C)(C)N=Cc1ccccc1O	mol11608
CCCC(=O)N(O)c1ccc(C)cc1	mol11609
CCN1C(O)=C(C(=O)O)Nc2cnc(N(C)C)nc21	mol11610
CCNc1ncc2c(n1)N(CC)C(O)=C(C(=O)O)N2	mol11611
CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	mol11612
CCOC(=O)C(C(=O)OCC)C1NC(=O)Nc2nn[nH]c21	mol11613
C[S+]([O-])c1cccc(C(C)(C)C)c1O	mol11614
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	mol11615
CCC1(C2CCCC2)C(=O)NC(=O)NC1=O	mol11616
CC=CC(C)C1(CC)C(=O)NC(=O)NC1=O	mol11617
C=C(C)CC1(CCC)C(=O)NC(=O)NC1=O	mol11618
CCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O	mol11619
CCc1cccc(CN(C)C)c1O	mol11620
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O	mol11621
O=C(O)CN(CC(=O)O)C1(C(=O)O)CCCCC1	mol11622
CCC(CC)C1(CC)C(=O)NC(=O)NC1=O	mol11623
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	mol11624
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O	mol11625
CCCCCC1(CC)C(=O)NC(=O)NC1=O	mol11626
O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O	mol11627
CN(C)C12CCC(C(=O)O)(CC1)CC2	mol11628
CCCCn1c(=O)[nH]c(=O)n(CCCC)c1=O	mol11629
S=C(S)N(C1CCCC1)C1CCCC1	mol11630
O=C(O)CCCCCCCCCCS(=O)(=O)O	mol11631
CCCCP(=O)(CCCC)C(C)(O)C(=O)O	mol11632
O=C(O)CCCCCCCCCCP(=O)(O)O	mol11633
Oc1c(Br)cc(N=Nc2ncc(Br)cc2Br)c(O)c1Br	mol11634
Oc1c(Br)cc(N=Nc2ccccn2)c(O)c1Br	mol11635
Oc1ccc(N=Nc2ncc(Br)cc2Br)c(O)c1	mol11636
O=c1cc(-c2ccccc2)cc(Cl)[nH]1	mol11637
Oc1ccc(N=Nc2ccc(Br)cn2)c(O)c1	mol11638
O=C(c1cccs1)N(O)c1ccccc1	mol11639
COc1ccc(C=C2SC(=S)NC2=O)cc1	mol11640
O=[N+]([O-])c1ccc(Nc2ccc(S(=O)(=O)O)cc2)nc1	mol11641
O=S(=O)(Nc1ccccn1)c1ccccc1	mol11642
C[n+]1ccc(C=NO)c2ccccc21	mol11643
CC(=O)NC(Cc1cc(I)c(O)c(I)c1)C(=O)O	mol11644
CC(=O)NC(Cc1ccc(O)c(I)c1)C(=O)O	mol11645
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O	mol11646
C=CCC1(CCCC)C(=O)NC(=S)NC1=O	mol11647
CCC(CC)C1(CC)C(=O)NC(=S)NC1=O	mol11648
CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	mol11649
CC(=O)Nc1cc([As]2SCC(CO)S2)ccc1O	mol11650
O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O	mol11651
O=C(O)c1cc(=O)cc(-c2ccccc2)o1	mol11652
O=C(O)C1=CC(C(=O)O)=CC(C(=O)O)=C(C(=O)O)C=C1	mol11653
O=C(O)C1=CC(C(=O)O)=CC(C(=O)O)=CC(C(=O)O)=C1	mol11654
Oc1ccc(-c2ccc(O)cc2O)c(O)c1	mol11655
CC(=O)c1c(O)ccc2c(C)cc(=O)oc12	mol11656
Cc1cc(=O)oc2cc(O)c(CC(=O)O)cc12	mol11657
CCc1cc2c(C)cc(=O)oc2cc1O	mol11658
CC#CC#CC=C=CC(O)CCC(=O)O	mol11659
C[C@@]1(C(=O)O)C[C@@]1(C(=O)O)c1ccccc1	mol11660
C[C@@]1(C(=O)O)C[C@]1(C(=O)O)c1ccccc1	mol11661
CC(=CC(=O)O)c1cc(C)cc(C)c1O	mol11662
CCOC(=O)C(C(C)=O)c1ccccc1	mol11663
CCOC(=O)CC(=O)c1ccc(C)cc1	mol11664
CC(CC(=O)O)(Cc1ccccc1)C(=O)O	mol11665
CCC(CC(=O)O)(C(=O)O)c1ccccc1	mol11666
COC(=O)C(C)(CC(=O)O)c1ccccc1	mol11667
COC(=O)CC(C)(C(=O)O)c1ccccc1	mol11668
CCOC(=O)CC(=O)c1ccc(OC)cc1	mol11669
CC(CC(=O)O)(CC(=O)O)c1ccccc1	mol11670
CCC(C(=O)O)(C(=O)O)c1cccc(C)c1	mol11671
CCC(C(=O)O)(C(=O)O)c1ccc(C)cc1	mol11672
CCC(C(=O)O)(C(=O)O)c1ccc(OC)cc1	mol11673
O=C(O)C1C=CC(C(=O)O)C(C(=O)O)CC(C(=O)O)C1	mol11674
CC(CCCC(=O)O)c1ccccc1	mol11675
CCCCc1ccc(C(O)C(=O)O)cc1	mol11676
CCCC(=O)c1c(O)oc(CCC)cc1=O	mol11677
O=C(O)C1CCC(C(=O)O)C(C(=O)O)CC(C(=O)O)C1	mol11678
CCc1c(O)ccc(C(C)C)c1C	mol11679
O=C(O)C1(OC2(C(=O)O)CCCC2)CCCC1	mol11680
CC(C)(C)C1CCC(C(=O)O)C(C(=O)O)C1	mol11681
CC(C)(C)C(C(=O)O)C(C(=O)O)C(C)(C)C	mol11682
CCC(CC)(C(=O)O)C(CC)(CC)C(=O)O	mol11683
CC1(C)CCC(C2CCC(C)(C)N2)N1	mol11684
CC1(C)CC(C2CCC(C)(C)N2)CN1	mol11685
O=c1cnc2c(=O)[nH]c(=O)n(-c3ccccc3)c2[nH]1	mol11686
O=C(O)c1cc(=O)cc(-c2ccccc2)s1	mol11687
O=C(O)C(=O)C=S1SCC=C1c1ccccc1	mol11688
O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cn1	mol11689
O=C(O)c1cccc(Nc2ccc([N+](=O)[O-])cn2)c1	mol11690
O=C(O)c1ccc(Nc2ccc([N+](=O)[O-])cn2)cc1	mol11691
O=C(c1cccnc1)N(O)c1ccccc1	mol11692
CC1(c2ccccc2)C(=O)NC(=O)C1C#N	mol11693
O=c1[nH]c(=O)c2ncn(Cc3ccccc3)c2[nH]1	mol11694
Oc1ccc(N=Nc2ccccc2O)c(O)c1	mol11695
Nc1ccc(-c2ccccc2O)cc1	mol11696
ON(N=Nc1ccccc1)c1ccccc1	mol11697
CC(=O)Nc1cc(O)cc2ccccc12	mol11698
CC(=O)Nc1cc(O)c2ccccc2c1	mol11699
Cc1ccnc(N=Nc2ccc(O)cc2O)c1	mol11700
Cc1ccc(N=Nc2ccc(O)cc2O)nc1	mol11701
O=P(O)(c1ccccc1)c1ccccc1	mol11702
O=P(O)(Oc1ccccc1)c1ccccc1	mol11703
CCOC(=O)c1c(-c2ccccc2)[nH]oc1=O	mol11704
O=C(O)C1CCNC1	mol11705
Cc1[nH]c(=O)n(Cc2ccccc2)c(=O)c1[N+](=O)[O-]	mol11706
O=P(O)(Oc1ccccc1)Oc1ccccc1	mol11707
O=C(O)CN(CC(=O)O)c1cc(C(=O)O)c(O)cc1C(=O)O	mol11708
S=P(S)(c1ccccc1)c1ccccc1	mol11709
CC1(c2ccccc2)C(=O)NC(=O)C1C(N)=O	mol11710
CCC1(c2ccc([N+](=O)[O-])cc2)CC(=O)NC1=O	mol11711
CC1(Cc2ccccc2)CC(=O)NC1=O	mol11712
CCC1(c2ccccc2)CC(=O)NC1=O	mol11713
CC(=O)C(C(C)=O)C(=O)Nc1ccccc1	mol11714
CC(=O)Nc1ccc([C@@H]2C[C@H]2C(=O)O)cc1	mol11715
O=C(O)CCC(NC(=O)c1ccccc1)C(=O)O	mol11716
COc1ccccc1C1CN(O)C(=O)C1C(=O)O	mol11717
O=C(O)CN(CC(=O)O)C(C(=O)O)c1ccccc1	mol11718
CCC(CC(=O)O)(C(=O)O)c1ccc([N+](=O)[O-])cc1	mol11719
COC(=O)C(C)(CC(=O)O)c1ccc([N+](=O)[O-])cc1	mol11720
COC(=O)CC(C)(C(=O)O)c1ccc([N+](=O)[O-])cc1	mol11721
CC(CC(=O)O)(Cc1ccc([N+](=O)[O-])cc1)C(=O)O	mol11722
Cc1cccc2[nH]cc(CC(N)C(=O)O)c12	mol11723
COc1ccc2c(CC(N)C(=O)O)c[nH]c2c1	mol11724
Cn1c(=S)[nH]c2cc3c(cc21)CCCC3	mol11725
CCC(C(C)=O)C(=O)Nc1ccccc1	mol11726
