smiles	molid
CN1CCC[C@H]1c1cccnc1	mol65
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341	mol66
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	mol67
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	mol68
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1CC	mol69
COC1C(OC(C)=O)CC(=O)OC(C)CC2OC2/C=C/C(=O)C(C)CC(CC=O)C1OC1OC(C)C(O)C(N(C)C)C1O	mol70
CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	mol71
CCCCNc1ccc(C(=O)OCCN(C)C)cc1	mol72
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	mol73
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	mol74
N#Cc1ccc2c(c1)N(CCCCN1CCC(O)CC1)c1ccccc1S2	mol75
CCC1OC(=O)CC(O)CC(OC2OC(C)CC(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC2OC2C1C	mol76
CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@]1(C)O	mol77
CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1	mol78
CCC1OC(=O)CC(O)C(C)C(CC=O)(OC2OC(C)CC(N(C)C)C2O)CC(C)C(=O)C=CC(C)=CC1C	mol79
COC1CC(OC2C(C)C(O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O	mol80
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	mol81
CC(CN1c2ccccc2Sc2ccccc21)N(C)C	mol82
CCN(CC)CCOC(=O)c1ccc(N)cc1	mol83
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	mol84
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C	mol85
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	mol86
CN(C)CCOC(c1ccccc1)c1ccccc1	mol87
Cc1cccc(C)c1OCC(C)N	mol88
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@@]341	mol89
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	mol90
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl	mol91
CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@@H](C)[C@@H](O)[C@]1(C)O	mol92
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12	mol93
CCCOC(=O)NCCCN(C)C	mol94
CN(C)CCC=C1c2ccccc2CCc2ccccc21	mol95
C=CCc1ccccc1OCC(O)CNC(C)C	mol96
CN(C)CCCN1c2ccccc2CCc2ccccc21	mol97
CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1	mol98
CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12	mol99
CC(C)NCC(O)COc1cccc2ccccc12	mol100
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1	mol101
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	mol102
CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C	mol103
CC(C)NCC(O)COc1cccc2[nH]ccc12	mol104
